id,Virulence_function,Associated_pathotypes
Vir1906_fimF_15,Adhesion: Type I Fimbriae,ExPEC
Vir1908_nleG_4,Hypothetical Protein,EPEC
Vir1909_papI_8,Adhesion: P Fimbriae,ExPEC
Vir1911_ecpB_12,Adhesion: E.coli common pilus,ETEC
Vir1913_tir_5,Adhesion: Intimin,EHEC
Vir1914_fimI_15,Adhesion: Type I Fimbriae,APEC
Vir1916_hlyE_10,Toxin: Hemolysin/cytolysin A,ExPEC
Vir1918_EcE24_7,Hypothetical Protein,ETEC
Vir1920_cdtA_1,Toxin: Cytolethal Distending Toxin,EPEC|ExPEC|NTEC
Vir1921_sitA_5,Iron: Transport,ExPEC
Vir1924_ybtS_8,Siderophore: Yersiniabactin,ExPEC
Vir1925_espFu_2,NA,EPEC
Vir1927_aaiI_2,Hypothetical Protein,StxEAEC
Vir1928_pic_2,Protease,ETEC
Vir1929_aec27_13,Secretion system: Type VI,UPEC
Vir1930_fimD_12,Adhesion: Type I Fimbriae,ExPEC
Vir1933_papA_5,Adhesion: P Fimbriae,ExPEC
Vir1935_hlyC_7,Toxin: Alpha-Hemolysin,ETEC
Vir1938_espG_4,Secretion system: Type III,EHEC
Vir1939_ybtQ_10,Siderophore: Yersiniabactin,ExPEC
Vir1941_ECO55_7,Hypothetical Protein,EPEC
Vir1942_ecpD_9,Adhesion: E.coli common pilus,ETEC
Vir1943_iroD_4,Siderophore: Salmochelin,ExPEC
Vir1944_aec31_12,Secretion system: Type VI,NMEC
Vir1946_hlyD_9,Toxin: Alpha-Hemolysin,EHEC
Vir1948_papC_8,Adhesion: P Fimbriae,ExPEC
Vir1958_agg3A_2,NA,EAEC
Vir1959_cah_12,Autotransporter: calcium-binding and heat-extractable autotransporter protein,EHEC|ETEC|NMEC|UPEC|AIEC|EPEC|StxEAEC
Vir1962_nleG_5,NA,EHEC
Vir1963_nleG2_7,Secretion system: Type III,EHEC
Vir1964_fimF_16,Adhesion: Type I Fimbriae,ExPEC
Vir1966_aec22_8,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir1968_c3400_1,Secretion system: SCI-I T6SS,UPEC
Vir1971_papF_5,Adhesion: P Fimbriae,ExPEC
Vir1973_APECO_7,NA,APEC
Vir1975_fimI_16,Adhesion: Type I Fimbriae,ETEC
Vir1976_espK_4,Secretion system: Type III,EHEC
Vir1977_ecpC_17,Adhesion: E.coli common pilus,EAEC
Vir1980_aec29_11,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir1983_papD_4,Adhesion: P Fimbriae,ExPEC
Vir1985_upaG_15,Adhesion,APEC
Vir1989_hlyB_3,Toxin: Alpha-Hemolysin,UPEC
Vir1991_chuS_7,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1993_EC559_14,Hypothetical Protein,EAEC
Vir1995_chuW_8,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1996_chuU_11,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir1998_ECABU_6,Hypothetical Protein,UPEC
Vir1999_fimG_12,Adhesion: Type I Fimbriae,ExPEC
Vir2001_nleG_6,Hypothetical Protein,EHEC
Vir2002_chuA_15,Iron: E.coli hemin uptake,EHEC
Vir2003_agn43_7,Autotransporter,StxEAEC
Vir2004_nleG8_4,Secretion system: Type III,EHEC
Vir2015_sepQ_5,Secretion system: Type III,EHEC
Vir2016_fimD_13,Adhesion: Type I Fimbriae,ExPEC
Vir2017_aec19_7,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir2018_escR_3,Secretion system: Type III,EHEC
Vir2020_nleB1_4,Secretion system: Type III,EHEC
Vir2022_chuY_7,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2025_fimB_10,Adhesion: Type I Fimbriae,EHEC
Vir2029_iroD_5,Siderophore: Salmochelin,ExPEC
Vir2033_aec29_12,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir2036_ecpB_13,Adhesion: E.coli common pilus,UPEC
Vir2037_espN_3,Hypothetical Protein,EHEC
Vir2041_fimI_17,Adhesion: Type I Fimbriae,NMEC
Vir2043_EC559_15,Hypothetical Protein,EAEC
Vir2045_ECO26_4,Secretion system: Type III,EHEC
Vir2052_vat_6,Vacuolating autotransporter toxin,ExPEC
Vir2053_i02_3_6,Hypothetical Protein,UPEC
Vir2056_chuU_12,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2065_EC042_14,Secretion system: Type VI,EAEC
Vir2066_papG_7,Adhesion: P Fimbriae,ExPEC
Vir2068_ibeC_17,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir2069_aec17_7,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir2073_espM2_6,NA,EHEC
Vir2074_fimA_16,Adhesion: Type I Fimbriae,ExPEC
Vir2078_ECP_2_8,Secretion system: SCI-I T6SS,UPEC
Vir2079_sfaH_1,Adhesion: S Fimbriae,ExPEC
Vir2080_faeJ_1,Adhesion: Fimbriae,ETEC
Vir2081_papG_8,Adhesion: P Fimbriae,ExPEC
Vir2082_toxB_3,Toxin,EHEC
Vir2083_papC_9,Adhesion: P Fimbriae,ExPEC
Vir2084_cfaA_4,Adhesion: CFA/I Fimbriae,ETEC
Vir2085_glrR_3,NA,EHEC
Vir2086_E2348_5,Secretion system: Type III,EPEC
Vir2087_papF_6,Adhesion: P Fimbriae,ExPEC
Vir2088_aec15_11,Secretion system: Type VI,ETEC
Vir2089_aec15_12,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir2091_irp2_14,Siderophore: Yersiniabactin,ExPEC
Vir2094_fimC_13,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir2095_aec16_4,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir2096_escF_3,Secretion system: Type III,EHEC
Vir2098_fimH_16,Adhesion: Type I Fimbriae,ExPEC
Vir2102_papF_7,Adhesion: P Fimbriae,ExPEC
Vir2103_set1B_1,Toxin: Enterotoxin,EAEC
Vir2106_aec23_11,Secretion system: Type VI,EAEC
Vir2107_espY1_2,Secretion system: Type III,EHEC
Vir2108_ecpB_14,Adhesion: E.coli common pilus,APEC
Vir2111_c3388_1,Hypothetical Protein,UPEC
Vir2112_chuS_8,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2115_fimE_12,Adhesion: Type I Fimbriae,ExPEC
Vir2117_nleG7_3,Secretion system: Type III,EHEC
Vir2118_CDCO1_2,Hypothetical Protein,EHEC
Vir2120_nleH1_6,Secretion system: Type III,EHEC
Vir2121_papD_5,Adhesion: P Fimbriae,ExPEC
Vir2122_aaiK_3,Hypothetical Protein,EAEC
Vir2124_papC_10,Adhesion: P Fimbriae,ExPEC
Vir2125_E2348_6,Secretion system: Type III,EPEC
Vir2128_eaeH_14,Adhesion,UPEC
Vir2132_ibeC_18,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir2134_irp1_6,Siderophore: Yersiniabactin,ExPEC
Vir2136_chuY_8,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2137_focH_1,Adhesion: Fimbriae,UPEC
Vir2139_espFu_3,NA,EPEC
Vir2140_LF82_8,Secretion system: SCI-I T6SS,AIEC
Vir2141_ecpA_10,Adhesion: E.coli common pilus,NMEC
Vir2142_iucC_5,Siderophore: Aerobactin,UPEC|APEC
Vir2144_aaiF_3,Hypothetical Protein,EAEC
Vir2147_fimB_11,Adhesion: Type I Fimbriae,ETEC
Vir2148_nleG_7,Secretion system: Type III,EHEC
Vir2150_cfaC_7,Adhesion: CFA/I Fimbriae,EHEC
Vir2152_chuW_9,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2155_iucC_6,Siderophore: Aerobactin,UPEC|APEC
Vir2157_sfaH_2,Adhesion: S Fimbriae,ExPEC
Vir2159_papI_9,Adhesion: P Fimbriae,ExPEC
Vir2162_chuS_9,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2167_aec23_12,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir2169_ECO11_4,Secretion system: Type III,EHEC
Vir2170_aec22_9,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir2173_ybtX_8,Siderophore: Yersiniabactin,ExPEC
Vir2175_E2348_7,Secretion system: Type III,EPEC
Vir2177_ybtX_9,Siderophore: Yersiniabactin,ExPEC
Vir2178_vat_7,Vacuolating autotransporter toxin,ExPEC
Vir2183_espX1_5,Secretion system: Type III,EHEC
Vir2185_ehaA_6,Autotransporter: adhesion/biofilm formation,EHEC
Vir2186_ecpA_11,Adhesion: E.coli common pilus,EPEC
Vir2191_irp1_7,Siderophore: Yersiniabactin,ExPEC
Vir2193_ybtU_12,Siderophore: Yersiniabactin,ExPEC
Vir2195_aec30_12,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir2196_ECO10_16,Hypothetical Protein,EHEC
Vir2198_fimG_13,Adhesion: Type I Fimbriae,ExPEC
Vir2200_fanc_1,K99 subunit,EHEC/ETEC/ExPEC
Vir2201_cnf1_2,Toxin: cytotoxic necrotizing factor,ExPEC|NTEC
Vir2202_sepD_5,NA,EHEC
Vir2202_fim41a_1,F41 subunit gene,ExPEC|NTEC
Vir2203_sfaF_3,Adhesion: S Fimbriae,ExPEC
Vir2204_fim41a_2,F41 subunit gene,EHEC/ETEC/ExPEC
Vir2205_aec32_9,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir2206_stx2e-A_2,Toxin: Shiga type 2 subunit A,EHEC/STEC/ExPEC
Vir2207_hlyE_11,Toxin: Hemolysin/cytolysin A,ExPEC
Vir2211_EC042_15,Secretion system: Type VI,EAEC
Vir2216_sitD_4,Iron: Transport,ExPEC
Vir2218_fimB_12,Adhesion: Type I Fimbriae,EHEC
Vir2219_papA_6,Adhesion: P Fimbriae,ExPEC
Vir2220_ibeC_19,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir2221_ECNA1_10,Hypothetical Protein,UPEC
Vir2224_agg3D_3,NA,EAEC
Vir2227_aec26_8,Secretion system: Type VI,EPEC
Vir2228_sfaC_1,Adhesion: S Fimbriae,ExPEC
Vir2229_fimD_14,Adhesion: Type I Fimbriae,ExPEC
Vir2230_aec22_10,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir2233_EcE24_8,Secretion system: Type VI,ETEC
Vir2238_cfaD_6,Adhesion: CFA/I Fimbriae,ETEC
Vir2240_fimD_15,Adhesion: Type I Fimbriae,ExPEC
Vir2241_fyuA_11,Siderophore: Yersiniabactin,ExPEC
Vir2244_aatB_3,NA,StxEAEC
Vir2245_espFu_4,NA,EHEC
Vir2246_chuW_10,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2253_eaeH_15,Adhesion,ETEC
Vir2259_espL2_7,Secretion system: Type III,EHEC
Vir2262_cfaA_5,Adhesion: CFA/I Fimbriae,UPEC
Vir2263_fimF_17,Adhesion: Type I Fimbriae,ExPEC
Vir2266_ybtX_10,Siderophore: Yersiniabactin,ExPEC
Vir2268_espY3_2,Hypothetical Protein,EPEC
Vir2269_ibeC_20,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir2270_rorf8_3,Secretion system: Type III,EHEC
Vir2271_ECNA1_11,Hypothetical Protein,UPEC
Vir2272_fimD_16,Adhesion: Type I Fimbriae,ExPEC
Vir2273_vat_8,Vacuolating autotransporter toxin,ExPEC
Vir2274_E2348_8,Hypothetical Protein,EPEC
Vir2277_fimA_17,Adhesion: Type I Fimbriae,ExPEC
Vir2278_sitC_6,Iron: Transport,ExPEC
Vir2281_map_6,Secretion system: Type III,EHEC
Vir2282_LF82_9,Secretion system: SCI-I T6SS,AIEC
Vir2283_escD_3,Secretion system: Type III,EHEC
Vir2285_fimI_18,Adhesion: Type I Fimbriae,UPEC
Vir2286_ybtQ_11,Siderophore: Yersiniabactin,ExPEC
Vir2290_fimH_17,Adhesion: Type I Fimbriae,ExPEC
Vir2294_aatD_1,NA,StxEAEC
Vir2296_sepZ_4,NA,EPEC
Vir2297_papH_7,Adhesion: P Fimbriae,ExPEC
Vir2299_ibeB_12,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir2302_chuU_13,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2304_espP_2,Protease,EHEC
Vir2305_aec27_14,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir2309_hlyB_4,Toxin: Alpha-Hemolysin,UPEC
Vir2312_hlyC_8,Toxin: Alpha-Hemolysin,UPEC
Vir2313_irp1_8,Siderophore: Yersiniabactin,ExPEC
Vir2314_espO1_6,Hypothetical Protein,EPEC
Vir2316_vat_9,Vacuolating autotransporter toxin: plasmid,ExPEC
Vir2318_fimH_18,Adhesion: Type I Fimbriae,ExPEC
Vir2323_aatB_4,NA,EAEC
Vir2324_cesD_3,NA,EPEC
Vir2325_papF_8,Adhesion: P Fimbriae,ExPEC
Vir2326_aatA_4,Hypothetical Protein,ETEC
Vir2327_papH_8,Adhesion: P Fimbriae,ExPEC
Vir2331_mpc_3,NA,EHEC
Vir2332_aec19_8,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir2336_ecpA_12,Adhesion: E.coli common pilus,EPEC
Vir2339_aec26_9,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir2342_espL2_8,Secretion system: Type III,EHEC
Vir2343_EcE24_9,NA,ETEC
Vir2346_pet_2,Toxin,EAEC
Vir2348_sepZ_5,Secretion system: Type III,EHEC
Vir2350_aec24_9,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir2351_espA_5,NA,EPEC
Vir2352_aec28_9,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir2357_ecpA_13,Adhesion: E.coli common pilus,EHEC
Vir2358_ecpD_10,Adhesion: E.coli common pilus,EPEC
Vir2359_chuS_10,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2360_ybtE_8,Siderophore: Yersiniabactin,ExPEC
Vir2361_nleG7_4,Hypothetical Protein,EHEC
Vir2369_G2583_3,Hypothetical Protein,EPEC
Vir2370_eaeH_16,Adhesion,UPEC
Vir2372_escD_4,Secretion system: Type III,EHEC
Vir2375_ibeB_13,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir2376_stx2A_5,Toxin: Shiga,EHEC
Vir2377_c3385_1,Secretion system: SCI-I T6SS,UPEC
Vir2379_vgrG_2,Hypothetical Protein,StxEAEC
Vir2380_EC042_16,Secretion system: Type VI,EAEC
Vir2383_ecpD_11,Adhesion: E.coli common pilus,UPEC
Vir2388_aec30_13,Secretion system: Type VI,UPEC
Vir2389_ehaA_7,Autotransporter: adhesion/biofilm formation,EHEC
Vir2392_sitA_6,Iron: Transport,ExPEC
Vir2393_ecpA_14,Adhesion: E.coli common pilus,EHEC
Vir2396_ecpB_15,Adhesion: E.coli common pilus,UPEC
Vir2398_hlyE_12,Toxin: Hemolysin/cytolysin A,ExPEC
Vir2400_fimG_14,Adhesion: Type I Fimbriae,ExPEC
Vir2402_aec17_8,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir2403_sfaH_3,Adhesion: S Fimbriae,ExPEC
Vir2405_iucA_10,Siderophore: Aerobactin,UPEC|APEC
Vir2408_fyuA_12,Siderophore: Yersiniabactin,ExPEC
Vir2409_chuU_14,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2411_sitC_7,Iron: Transport,ExPEC
Vir2414_nleG8_5,Secretion system: Type III,EHEC
Vir2416_espN_4,Secretion system: Type III,EHEC
Vir2419_hlyE_13,Toxin: Hemolysin/cytolysin A,ExPEC
Vir2420_ybtA_6,Siderophore: Yersiniabactin,ExPEC
Vir2421_ibeB_14,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir2423_ler_4,NA,EHEC
Vir2424_fimF_18,Adhesion: Type I Fimbriae,ExPEC
Vir2430_iroE_4,Siderophore: Salmochelin,ExPEC
Vir2433_ECS88_12,Secretion system: ACE T6SS,NMEC
Vir2435_fimI_19,Adhesion: Type I Fimbriae,NMEC
Vir2440_papK_8,Adhesion: P Fimbriae,ExPEC
Vir2442_chuW_11,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2443_papE_9,Adhesion: P Fimbriae,ExPEC
Vir2448_nleD_3,Hypothetical Protein,EHEC
Vir2449_stx1A_2,Toxin: Shiga,EHEC
Vir2450_aec14_3,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir2452_ehaA_8,Autotransporter: adhesion/biofilm formation,ETEC
Vir2453_nleG2_8,Hypothetical Protein,EPEC
Vir2455_ybtQ_12,Siderophore: Yersiniabactin,ExPEC
Vir2456_cdtC_2,Toxin: Cytolethal Distending Toxin,EPEC|ExPEC|NTEC
Vir2459_fimC_14,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir2461_papF_9,Adhesion: P Fimbriae,ExPEC
Vir2465_ECO26_5,Hypothetical Protein,EHEC
Vir2466_escS_3,NA,EHEC
Vir2468_tir_6,Adhesion: Intimin,EPEC
Vir2469_aec23_13,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir2471_chuU_15,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2472_ybtQ_13,Siderophore: Yersiniabactin,ExPEC
Vir2477_nleB1_5,Secretion system: Type III,EPEC
Vir2478_cfaA_6,Adhesion: CFA/I Fimbriae,EHEC
Vir2481_chuT_11,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2488_escC_4,NA,EPEC
Vir2493_vat_10,Vacuolating autotransporter toxin: plasmid,ExPEC
Vir2494_aec23_14,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir2495_ecpD_12,Adhesion: E.coli common pilus,EHEC
Vir2496_fimG_15,Adhesion: Type I Fimbriae,ExPEC
Vir2497_espY3_3,Hypothetical Protein,EPEC
Vir2498_espN_5,Hypothetical Protein,EHEC
Vir2504_cif_1,NA,EPEC
Vir2506_aec30_14,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir2512_espR3_3,Hypothetical Protein,EHEC
Vir2514_escD_5,Secretion system: Type III,EPEC
Vir2515_aec25_9,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir2516_papI_10,Adhesion: P Fimbriae,ExPEC
Vir2519_nleG7_5,Hypothetical Protein,EHEC
Vir2522_ECO11_5,Secretion system: Type III,EHEC
Vir2523_irp2_15,Siderophore: Yersiniabactin,ExPEC
Vir2527_tia_7,Adhesion/Invasion,UPEC
Vir2528_agn43_8,Autotransporter,UPEC
Vir2529_ECO10_17,Hypothetical Protein,EHEC
Vir2531_cfaD_7,Adhesion: CFA/I Fimbriae,UPEC
Vir2532_cfaC_8,Adhesion: CFA/I Fimbriae,UPEC
Vir2533_irp1_9,Siderophore: Yersiniabactin,ExPEC
Vir2534_escS_4,Secretion system: Type III,EHEC
Vir2536_aec14_4,Secretion system: Type VI: Hypothetical Protein,APEC
Vir2537_chuU_16,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2538_espF_6,NA,EHEC
Vir2539_ECP_2_9,Secretion system: SCI-I T6SS,UPEC
Vir2540_sfaF_4,Adhesion: S Fimbriae,ExPEC
Vir2541_ehaA_9,Autotransporter: adhesion/biofilm formation,EAEC
Vir2544_aec27_15,Secretion system: Type VI,EAEC
Vir2550_ybtT_10,Siderophore: Yersiniabactin,ExPEC
Vir2553_fimI_20,Adhesion: Type I Fimbriae,EPEC
Vir2555_aec15_13,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir2557_nleG_8,Secretion system: Type III,EHEC
Vir2560_ybtE_9,Siderophore: Yersiniabactin,ExPEC
Vir2562_fimC_15,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir2567_EC042_17,Hypothetical Protein,EAEC
Vir2570_escR_4,NA,EHEC
Vir2571_Z5117_1,Hypothetical Protein,EHEC
Vir2574_espF_7,NA,EHEC
Vir2575_cdiA_3,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir2578_EC559_16,Hypothetical Protein,EAEC
Vir2581_papE_10,Adhesion: P Fimbriae,ExPEC
Vir2584_ECO26_6,Secretion system: Type III,EHEC
Vir2586_cfaC_10,NA,NA
Vir2590_fimD_17,Adhesion: Type I Fimbriae,ExPEC
Vir2597_chuT_12,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2598_irp1_10,Siderophore: Yersiniabactin,ExPEC
Vir2606_aec29_13,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir2609_lifA_3,NA,EHEC
Vir2612_ECP_2_10,Secretion system: SCI-I T6SS,UPEC
Vir2615_aec29_14,Secretion system: Type VI,EAEC
Vir2617_cfaC_11,NA,NA
Vir2619_cfaC_12,NA,NA
Vir2621_EC042_18,Secretion system: Type VI,EAEC
Vir2622_sfaG_4,Adhesion: S Fimbriae,ExPEC
Vir2627_fimG_16,Adhesion: Type I Fimbriae,ExPEC
Vir2628_upaH_3,NA,UPEC
Vir2633_fimD_18,Adhesion: Type I Fimbriae,ExPEC
Vir2634_chuY_9,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2635_focH_2,Adhesion: Fimbriae,UPEC
Vir2636_escT_5,Secretion system: Type III,EPEC
Vir2637_espY1_3,Hypothetical Protein,EPEC
Vir2640_papK_9,Adhesion: P Fimbriae,ExPEC
Vir2641_iroB_3,Siderophore: Salmochelin,ExPEC
Vir2642_escC_5,Secretion system: Type III,EHEC
Vir2644_cnf1_3,Toxin: cytotoxic necrotizing factor,ExPEC|NTEC
Vir2646_eae_6,Adhesion: Intimin,"EPEC,EHEC"
Vir2648_tir_7,Adhesion: Intimin,EHEC
Vir2649_ECNA1_12,Hypothetical Protein,UPEC
Vir2650_aec19_9,Secretion system: Type VI: Hypothetical Protein,EPEC
Vir2651_aatD_2,NA,ETEC
Vir2656_espX1_6,Secretion system: Type III,EHEC
Vir2657_ecpA_15,Adhesion: E.coli common pilus,EAEC
Vir2661_aec22_11,Secretion system: Type VI: Hypothetical Protein,EAEC
Vir2667_cdtA_2,Toxin: Cytolethal Distending Toxin,EPEC|ExPEC|NTEC
Vir2669_upaG_16,Adhesion,EAEC
Vir2670_vat_11,Vacuolating autotransporter toxin,ExPEC
Vir2675_chuY_10,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2676_irp1_11,Siderophore: Yersiniabactin,ExPEC
Vir2677_fimI_21,Adhesion: Type I Fimbriae,UPEC
Vir2678_aaiN_3,Hypothetical Protein,EAEC
Vir2683_fimD_19,Adhesion: Type I Fimbriae,ExPEC
Vir2685_nleG7_6,Secretion system: Type III,EHEC
Vir2686_espD_5,NA,EPEC
Vir2687_chuY_11,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2690_cesF_4,NA,EHEC
Vir2692_upaG_17,Adhesion,EPEC
Vir2695_ybtT_11,Siderophore: Yersiniabactin,ExPEC
Vir2699_aec25_10,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir2702_tibA_1,Adhesion,ETEC
Vir2703_escL_1,Secretion system: Type III,EHEC
Vir2704_ECO11_6,Hypothetical Protein,EHEC
Vir2708_focI_2,Adhesion: Fimbriae,UPEC
Vir2709_ybtX_11,Siderophore: Yersiniabactin,ExPEC
Vir2711_escN_4,NA,EHEC
Vir2716_ybtE_10,Siderophore: Yersiniabactin,ExPEC
Vir2717_ecpA_16,Adhesion: E.coli common pilus,NMEC
Vir2719_lifA_4,NA,EHEC
Vir2720_iucB_4,Siderophore: Aerobactin,UPEC|APEC
Vir2722_ybtE_11,Siderophore: Yersiniabactin,ExPEC
Vir2724_sitC_8,Iron: Transport,ExPEC
Vir2726_faeG_1,Adhesion: Fimbriae,ETEC
Vir2727_espF_8,Secretion system: Type III,EHEC
Vir2728_aec32_10,Secretion system: Type VI: Hypothetical Protein,NMEC
Vir2729_ecpD_13,Adhesion: E.coli common pilus,AIEC
Vir2730_escC_6,Secretion system: Type III,EHEC
Vir2731_ybtE_12,Siderophore: Yersiniabactin,ExPEC
Vir2734_cesF_5,NA,EPEC
Vir2740_irp2_16,Siderophore: Yersiniabactin,ExPEC
Vir2745_ecpA_17,Adhesion: E.coli common pilus,UPEC
Vir2756_papA_7,Adhesion: P Fimbriae,ExPEC
Vir2757_aec30_15,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir2760_fimI_22,Adhesion: Type I Fimbriae,UPEC
Vir2761_fimC_16,Adhesion: Type I Fimbriae,ExPEC|APEC
Vir2762_chuU_17,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2767_papA_8,Adhesion: P Fimbriae,ExPEC
Vir2768_cdiB_5,Autotransporter: Contact-Dependent Growth Inhibition,UPEC|AIEC
Vir2769_aec26_10,Secretion system: Type VI: Hypothetical Protein,EHEC
Vir2770_ybtU_13,Siderophore: Yersiniabactin,ExPEC
Vir2771_iucC_7,Siderophore: Aerobactin,UPEC|APEC
Vir2773_lifA_5,NA,EHEC
Vir2775_stx1A_3,Toxin: Shiga,EHEC
Vir2777_ecpE_19,Adhesion: E.coli common pilus,UPEC
Vir2778_espR1_4,Secretion system: Type III,EHEC
Vir2780_iucB_5,Siderophore: Aerobactin,UPEC|APEC
Vir2781_ECH74_3,NA,EHEC
Vir2782_iucB_6,Siderophore: Aerobactin,UPEC|APEC
Vir2786_pic_3,NA,ETEC
Vir2790_espM1_2,Secretion system: Type III,EHEC
Vir2791_aec23_15,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir2793_cfaA_7,Adhesion: CFA/I Fimbriae,ETEC
Vir2795_fimA_18,Adhesion: Type I Fimbriae,ExPEC
Vir2798_ybtP_9,Siderophore: Yersiniabactin,ExPEC
Vir2804_aec24_10,Secretion system: Type VI,EPEC
Vir2805_ecpR_17,Adhesion: E.coli common pilus,UPEC
Vir2806_escC_7,NA,EPEC
Vir2807_ecpB_16,Adhesion: E.coli common pilus,ETEC
Vir2808_iroB_4,Siderophore: Salmochelin,ExPEC
Vir2812_papJ_6,Adhesion: P Fimbriae,ExPEC
Vir2816_papI_11,Adhesion: P Fimbriae,ExPEC
Vir2817_espH_4,Secretion system: Type III,EHEC
Vir2818_fimB_13,Adhesion: Type I Fimbriae,EPEC
Vir2819_irp2_17,Siderophore: Yersiniabactin,ExPEC
Vir2821_sitD_5,Iron: Transport,ExPEC
Vir2823_papD_6,Adhesion: P Fimbriae,ExPEC
Vir2824_G2583_4,Hypothetical Protein,EPEC
Vir2829_ecpB_17,Adhesion: E.coli common pilus,UPEC
Vir2831_espX2_3,Hypothetical Protein,EHEC
Vir2837_chuW_12,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir2838_aaiC_3,Hypothetical Protein,StxEAEC
Vir2840_tccP2_3,Secretion system: Type III,EHEC
Vir2841_papK_10,Adhesion: P Fimbriae,ExPEC
Vir2842_ecpR_18,Adhesion: E.coli common pilus,UPEC
